Dataset,Validation criteria,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Baseline,0.96 ± 0.10,1.36 ± 0.13,0.51 ± 0.08,0.35 ± 0.09,0.73 ± 0.08,0.37 ± 0.09
Concrete,Criterion 1.1,0.96 ± 0.12,1.34 ± 0.17,0.48 ± 0.10,0.33 ± 0.11,0.75 ± 0.11,0.33 ± 0.11
Concrete,Criterion 1.2,0.93 ± 0.12,1.32 ± 0.16,0.46 ± 0.08,0.31 ± 0.09,0.71 ± 0.09,0.32 ± 0.10
Concrete,Criterion 2,0.51 ± 0.03,0.54 ± 0.03,0.48 ± 0.03,0.48 ± 0.03,0.53 ± 0.04,0.48 ± 0.03
Composite,Baseline,0.98 ± 0.08,1.38 ± 0.13,1.07 ± 0.09,1.05 ± 0.09,1.40 ± 0.12,1.11 ± 0.10
Composite,Criterion 1.1,0.96 ± 0.10,1.35 ± 0.13,1.05 ± 0.11,1.04 ± 0.10,1.33 ± 0.16,1.10 ± 0.10
Composite,Criterion 1.2,0.94 ± 0.09,1.34 ± 0.14,1.04 ± 0.09,1.02 ± 0.11,1.31 ± 0.12,1.08 ± 0.12
Composite,Criterion 2,1.03 ± 0.05,1.03 ± 0.05,1.03 ± 0.05,1.03 ± 0.05,1.03 ± 0.05,1.03 ± 0.05
Steel,Baseline,0.76 ± 0.19,1.08 ± 0.29,0.43 ± 0.18,0.38 ± 0.18,0.93 ± 0.20,0.43 ± 0.17
Steel,Criterion 1.1,0.70 ± 0.23,0.93 ± 0.31,0.35 ± 0.20,0.31 ± 0.18,0.86 ± 0.19,0.37 ± 0.18
Steel,Criterion 1.2,0.69 ± 0.22,0.87 ± 0.29,0.37 ± 0.20,0.30 ± 0.16,0.87 ± 0.23,0.37 ± 0.18
Steel,Criterion 2,0.56 ± 0.09,0.59 ± 0.09,0.52 ± 0.08,0.51 ± 0.08,0.56 ± 0.08,0.51 ± 0.08
Energy,Baseline,1.00 ± 0.08,1.38 ± 0.15,0.23 ± 0.06,0.19 ± 0.04,0.34 ± 0.09,0.18 ± 0.04
Energy,Criterion 1.1,0.98 ± 0.09,1.36 ± 0.16,0.21 ± 0.06,0.19 ± 0.05,0.32 ± 0.10,0.18 ± 0.04
Energy,Criterion 1.2,0.96 ± 0.11,1.32 ± 0.19,0.21 ± 0.06,0.18 ± 0.05,0.34 ± 0.09,0.17 ± 0.05
Energy,Criterion 2,0.26 ± 0.02,0.31 ± 0.03,0.22 ± 0.01,0.23 ± 0.02,0.23 ± 0.02,18.18 ± 177.77
Student,Baseline,0.96 ± 0.09,1.35 ± 0.14,0.96 ± 0.10,0.93 ± 0.10,1.21 ± 0.11,0.99 ± 0.10
Student,Criterion 1.1,0.83 ± 0.17,1.11 ± 0.29,0.81 ± 0.16,0.78 ± 0.17,1.04 ± 0.20,0.84 ± 0.20
Student,Criterion 1.2,0.84 ± 0.14,1.12 ± 0.23,0.82 ± 0.17,0.81 ± 0.18,1.09 ± 0.21,0.85 ± 0.19
Student,Criterion 2,0.88 ± 0.09,0.89 ± 0.09,0.89 ± 0.10,0.88 ± 0.09,0.89 ± 0.10,0.88 ± 0.10
Wine,Baseline,0.99 ± 0.06,1.40 ± 0.07,0.69 ± 0.05,0.58 ± 0.05,0.98 ± 0.07,0.58 ± 0.05
Wine,Criterion 1.1,0.97 ± 0.06,1.37 ± 0.08,0.67 ± 0.06,0.57 ± 0.05,0.93 ± 0.05,0.56 ± 0.06
Wine,Criterion 1.2,0.97 ± 0.07,1.38 ± 0.07,0.67 ± 0.06,0.57 ± 0.06,0.94 ± 0.07,0.56 ± 0.06
Wine,Criterion 2,0.81 ± 0.02,0.82 ± 0.02,0.79 ± 0.02,0.79 ± 0.02,0.80 ± 0.02,0.79 ± 0.02
