Dataset,Validation criteria,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Baseline,0.96 ± 0.09,1.37 ± 0.14,0.52 ± 0.08,0.35 ± 0.08,0.74 ± 0.10,0.36 ± 0.09
Concrete,Criterion 1.1,0.92 ± 0.11,1.30 ± 0.17,0.47 ± 0.09,0.31 ± 0.09,0.72 ± 0.12,0.32 ± 0.09
Concrete,Criterion 1.2,0.95 ± 0.12,1.31 ± 0.18,0.47 ± 0.11,0.33 ± 0.10,0.73 ± 0.13,0.34 ± 0.11
Concrete,Criterion 2,0.51 ± 0.03,0.54 ± 0.03,0.48 ± 0.03,0.48 ± 0.03,0.53 ± 0.04,0.48 ± 0.03
Composite,Baseline,0.98 ± 0.09,1.38 ± 0.13,1.06 ± 0.08,1.06 ± 0.09,1.35 ± 0.13,1.11 ± 0.10
Composite,Criterion 1.1,0.93 ± 0.10,1.33 ± 0.15,1.02 ± 0.11,1.01 ± 0.11,1.33 ± 0.15,1.06 ± 0.11
Composite,Criterion 1.2,0.96 ± 0.10,1.35 ± 0.16,1.04 ± 0.11,1.03 ± 0.11,1.31 ± 0.14,1.07 ± 0.12
Composite,Criterion 2,1.03 ± 0.05,1.03 ± 0.05,1.03 ± 0.05,1.03 ± 0.05,1.03 ± 0.05,1.03 ± 0.05
Steel,Baseline,0.75 ± 0.18,1.06 ± 0.31,0.39 ± 0.17,0.32 ± 0.14,0.95 ± 0.21,0.38 ± 0.13
Steel,Criterion 1.1,0.71 ± 0.21,0.89 ± 0.30,0.36 ± 0.19,0.30 ± 0.18,0.86 ± 0.24,0.36 ± 0.18
Steel,Criterion 1.2,0.70 ± 0.20,0.91 ± 0.39,0.36 ± 0.20,0.32 ± 0.19,0.90 ± 0.25,0.35 ± 0.14
Steel,Criterion 2,0.56 ± 0.08,0.60 ± 0.09,0.52 ± 0.08,0.51 ± 0.08,0.56 ± 0.08,0.52 ± 0.08
Energy,Baseline,0.98 ± 0.08,1.39 ± 0.14,0.22 ± 0.05,0.19 ± 0.04,0.33 ± 0.08,0.18 ± 0.03
Energy,Criterion 1.1,0.97 ± 0.09,1.34 ± 0.20,0.21 ± 0.07,0.18 ± 0.05,0.33 ± 0.10,0.18 ± 0.04
Energy,Criterion 1.2,0.99 ± 0.09,1.33 ± 0.20,0.23 ± 0.07,0.19 ± 0.05,0.32 ± 0.09,0.18 ± 0.04
Energy,Criterion 2,0.25 ± 0.02,0.31 ± 0.03,0.22 ± 0.02,0.22 ± 0.01,0.23 ± 0.02,6.69 ± 63.96
Student,Baseline,0.95 ± 0.09,1.34 ± 0.14,0.94 ± 0.10,0.91 ± 0.10,1.23 ± 0.11,0.97 ± 0.10
Student,Criterion 1.1,0.86 ± 0.17,1.12 ± 0.31,0.83 ± 0.19,0.80 ± 0.17,1.06 ± 0.20,0.84 ± 0.19
Student,Criterion 1.2,0.82 ± 0.15,1.12 ± 0.32,0.80 ± 0.17,0.80 ± 0.17,1.07 ± 0.21,0.84 ± 0.17
Student,Criterion 2,0.89 ± 0.09,0.89 ± 0.10,0.88 ± 0.09,0.88 ± 0.09,0.89 ± 0.09,0.88 ± 0.09
Wine,Baseline,0.98 ± 0.05,1.40 ± 0.06,0.68 ± 0.05,0.57 ± 0.04,0.95 ± 0.05,0.57 ± 0.04
Wine,Criterion 1.1,0.96 ± 0.06,1.37 ± 0.09,0.66 ± 0.05,0.56 ± 0.05,0.93 ± 0.06,0.56 ± 0.05
Wine,Criterion 1.2,0.96 ± 0.07,1.38 ± 0.09,0.67 ± 0.05,0.56 ± 0.05,0.94 ± 0.06,0.56 ± 0.05
Wine,Criterion 2,0.81 ± 0.02,0.82 ± 0.02,0.80 ± 0.02,0.79 ± 0.02,0.80 ± 0.02,0.79 ± 0.02
