Dataset,Validation criteria,Mean_Mode,Hot_deck,KNN,CB,PMM,LGBM
Concrete,Baseline,1.19 ± 0.13,1.54 ± 0.15,0.64 ± 0.10,0.43 ± 0.09,0.85 ± 0.12,0.44 ± 0.09
Concrete,Criterion 1.1,0.95 ± 0.13,1.33 ± 0.19,0.50 ± 0.11,0.33 ± 0.10,0.75 ± 0.11,0.35 ± 0.10
Concrete,Criterion 1.2,1.15 ± 0.15,1.48 ± 0.19,0.62 ± 0.12,0.40 ± 0.12,0.79 ± 0.15,0.41 ± 0.12
Concrete,Criterion 2,0.50 ± 0.03,0.54 ± 0.03,0.48 ± 0.03,0.47 ± 0.03,0.52 ± 0.04,0.47 ± 0.03
Composite,Baseline,1.01 ± 0.09,1.40 ± 0.12,1.08 ± 0.10,1.08 ± 0.09,1.40 ± 0.13,1.14 ± 0.09
Composite,Criterion 1.1,0.94 ± 0.10,1.33 ± 0.13,1.02 ± 0.11,1.02 ± 0.11,1.31 ± 0.14,1.08 ± 0.12
Composite,Criterion 1.2,0.98 ± 0.11,1.38 ± 0.15,1.07 ± 0.11,1.05 ± 0.12,1.36 ± 0.14,1.11 ± 0.13
Composite,Criterion 2,1.03 ± 0.05,1.03 ± 0.05,1.03 ± 0.05,1.03 ± 0.05,1.03 ± 0.05,1.03 ± 0.05
Steel,Baseline,1.49 ± 0.45,1.76 ± 0.55,0.93 ± 0.44,0.81 ± 0.44,1.45 ± 0.45,0.85 ± 0.42
Steel,Criterion 1.1,0.69 ± 0.18,0.97 ± 0.37,0.33 ± 0.16,0.28 ± 0.15,0.83 ± 0.18,0.36 ± 0.14
Steel,Criterion 1.2,1.27 ± 0.53,1.54 ± 0.61,0.77 ± 0.49,0.63 ± 0.42,1.30 ± 0.56,0.69 ± 0.42
Steel,Criterion 2,0.61 ± 0.08,0.63 ± 0.07,0.54 ± 0.08,0.52 ± 0.07,0.59 ± 0.07,0.52 ± 0.07
Energy,Baseline,1.04 ± 0.09,1.41 ± 0.14,0.22 ± 0.05,0.20 ± 0.04,0.35 ± 0.08,0.18 ± 0.03
Energy,Criterion 1.1,0.97 ± 0.09,1.34 ± 0.19,0.21 ± 0.06,0.19 ± 0.06,0.33 ± 0.10,0.17 ± 0.05
Energy,Criterion 1.2,1.02 ± 0.09,1.40 ± 0.18,0.20 ± 0.05,0.19 ± 0.05,0.34 ± 0.09,0.18 ± 0.04
Energy,Criterion 2,0.26 ± 0.02,0.30 ± 0.02,0.22 ± 0.02,0.22 ± 0.01,0.23 ± 0.02,0.22 ± 0.02
Student,Baseline,1.20 ± 0.13,1.56 ± 0.16,1.18 ± 0.13,1.11 ± 0.12,1.39 ± 0.13,1.16 ± 0.12
Student,Criterion 1.1,0.81 ± 0.18,1.14 ± 0.26,0.79 ± 0.18,0.78 ± 0.18,1.05 ± 0.20,0.84 ± 0.22
Student,Criterion 1.2,1.01 ± 0.20,1.29 ± 0.32,0.99 ± 0.22,0.96 ± 0.23,1.22 ± 0.24,1.02 ± 0.24
Student,Criterion 2,0.89 ± 0.10,0.90 ± 0.10,0.89 ± 0.10,0.89 ± 0.09,0.89 ± 0.09,0.89 ± 0.09
Wine,Baseline,1.20 ± 0.09,1.56 ± 0.08,0.84 ± 0.09,0.72 ± 0.10,1.07 ± 0.08,0.71 ± 0.09
Wine,Criterion 1.1,0.97 ± 0.06,1.37 ± 0.07,0.67 ± 0.06,0.56 ± 0.05,0.93 ± 0.05,0.57 ± 0.05
Wine,Criterion 1.2,1.16 ± 0.09,1.52 ± 0.10,0.81 ± 0.08,0.68 ± 0.08,1.04 ± 0.08,0.67 ± 0.08
Wine,Criterion 2,0.81 ± 0.02,0.82 ± 0.02,0.80 ± 0.02,0.79 ± 0.02,0.80 ± 0.02,0.79 ± 0.02
